atp_event,rival,sport,atp_duration,rival_duration,overlap_minutes,atp_source,rival_source
Madrid,Miami Grand Prix,F1,210,90,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,210,120,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,210,150,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Celta vs Elche,La Liga,90,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Celta vs Elche,La Liga,90,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Celta vs Elche,La Liga,150,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Celta vs Elche,La Liga,150,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Celta vs Elche,La Liga,210,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Celta vs Elche,La Liga,210,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,90,105,60.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,90,120,75.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,150,105,60.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,150,120,75.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,210,105,60.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Getafe vs Vallecano,La Liga,210,120,75.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,90,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,90,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,150,105,60.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,150,120,60.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,210,105,105.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Betis vs Oviedo,La Liga,210,120,120.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,90,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,90,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,150,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,150,120,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,210,105,0.0,madrid_2026_official_op,v4_laliga_2526
Madrid,Espanol vs Real Madrid,La Liga,210,120,0.0,madrid_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Bilbao vs Celta,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Ath Madrid vs Girona,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Elche vs Getafe,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Levante vs Mallorca,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Osasuna vs Espanol,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Oviedo vs Alaves,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Sevilla vs Real Madrid,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Sociedad vs Valencia,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Vallecano vs Villarreal,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Vallecano vs Villarreal,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
