price,tax,other_variable_cost,cac,net_sales,gateway_cost,pre_marketing_contribution,after_acquisition,contribution_pct_receipts,scope
99,0.18,10,175,83.89830508474577,2.3364,71.56190508474577,-103.43809491525423,0.7228475261085432,"Assumption scenario, not observed FanCode margin"
99,0.18,10,200,83.89830508474577,2.3364,71.56190508474577,-128.43809491525423,0.7228475261085432,"Assumption scenario, not observed FanCode margin"
99,0.18,30,0,83.89830508474577,2.3364,51.561905084745774,51.561905084745774,0.5208273240883412,"Assumption scenario, not observed FanCode margin"
99,0.18,30,150,83.89830508474577,2.3364,51.561905084745774,-98.43809491525423,0.5208273240883412,"Assumption scenario, not observed FanCode margin"
99,0.18,30,175,83.89830508474577,2.3364,51.561905084745774,-123.43809491525423,0.5208273240883412,"Assumption scenario, not observed FanCode margin"
99,0.18,30,200,83.89830508474577,2.3364,51.561905084745774,-148.43809491525423,0.5208273240883412,"Assumption scenario, not observed FanCode margin"
99,0.18,60,0,83.89830508474577,2.3364,21.561905084745774,21.561905084745774,0.21779702105803814,"Assumption scenario, not observed FanCode margin"
99,0.18,60,150,83.89830508474577,2.3364,21.561905084745774,-128.43809491525423,0.21779702105803814,"Assumption scenario, not observed FanCode margin"
99,0.18,60,175,83.89830508474577,2.3364,21.561905084745774,-153.43809491525423,0.21779702105803814,"Assumption scenario, not observed FanCode margin"
99,0.18,60,200,83.89830508474577,2.3364,21.561905084745774,-178.43809491525423,0.21779702105803814,"Assumption scenario, not observed FanCode margin"
116,0.0,10,0,116.0,2.7375999999999996,103.2624,103.2624,0.8901931034482758,"Assumption scenario, not observed FanCode margin"
116,0.0,10,150,116.0,2.7375999999999996,103.2624,-46.7376,0.8901931034482758,"Assumption scenario, not observed FanCode margin"
116,0.0,10,175,116.0,2.7375999999999996,103.2624,-71.7376,0.8901931034482758,"Assumption scenario, not observed FanCode margin"
116,0.0,10,200,116.0,2.7375999999999996,103.2624,-96.7376,0.8901931034482758,"Assumption scenario, not observed FanCode margin"
116,0.0,30,0,116.0,2.7375999999999996,83.2624,83.2624,0.7177793103448276,"Assumption scenario, not observed FanCode margin"
116,0.0,30,150,116.0,2.7375999999999996,83.2624,-66.7376,0.7177793103448276,"Assumption scenario, not observed FanCode margin"
